section,year,Calanus_finmarchicus_log10,Pseudocalanus_log10,copepods_log10,non_copepods_log10,Arctic_Calanus_species_log10,warm_offshore_copepods_log10,warm_shelf_copepods_log10,mesozooplankton_dry_biomass,zooplankton_wet_biomass
HL,2010,4.033045093916181,2.701182826252451,5.113300668981017,3.5709082200623237,2.306647833959335,2.4175525893408203,1.7747978563459403,3.7279619421770707,32.24412145163417
HL,2011,3.959103166936826,2.7360931553922203,5.130906853887128,4.0927431702702615,2.8688469224803312,2.383991161227979,2.5735654229029694,4.7126169071004105,33.444623513412154
HL,2012,3.768909191603861,2.6200667143809486,5.141566962921224,4.216598313084379,1.468917903461273,3.297496351949432,2.8227032147185853,4.037268194971486,14.630148541306262
HL,2013,4.077697553873201,3.7204550663905014,5.0735872658927015,3.95608526376464,2.5503088139221086,2.2183140891202595,2.614405744880006,3.2096541201276714,35.40497139701372
HL,2014,4.058211260163512,2.86224992099663,5.128755204153117,4.002860062339818,2.3286866446306544,3.020706638029311,1.8970861999546338,3.9892057920239603,41.221329503833104
HL,2015,3.808392478657112,3.257743797225149,5.3109415921312495,4.287057478800433,2.5926639934231375,2.3376959413255736,2.42259318216735,3.968414902991786,36.63063813248614
HL,2016,3.952277958548756,2.341033935043242,5.203873419570189,4.245633842611616,2.326419048908625,3.4845307736173217,2.588985676293162,3.875962457852162,43.506076626305315
HL,2017,4.048386065657626,2.2038916767142123,5.173475583757506,4.085618383748635,2.44754626451985,3.033112043006051,1.8151108079700775,5.0963631459578576,46.08829592486771
HL,2018,3.818140973549279,2.4961370266704774,4.993613321081192,4.17926415335197,1.7031301325523398,3.0441128962269475,2.866708730859272,3.174464165600219,25.44567119420301
HL,2019,3.9039565115877113,3.566246799912906,5.22118511063953,4.271272234491871,2.017077857398149,3.5209556675247518,3.3465650935649864,3.395812949875684,35.105073612952125
BBL,1999,3.883627531957073,3.427850063682681,5.425906002830869,4.489677318199444,1.902225374756685,2.91921775647255,2.9191221727068806,NA,33.04886836566613
BBL,2000,3.854515163976172,3.643760836698612,5.459479910036598,4.410961317678978,1.5465909119698225,2.94877128934353,4.110298050719945,NA,43.69781296773797
BBL,2001,4.227423522179748,3.819284124916206,5.3652823791364295,4.092739395623112,2.5942884533239003,1.875455817777866,3.722652080705584,5.597595201473057,50.618055098368956
BBL,2002,4.166766386468486,3.339743879182682,5.418600319926105,3.887449300587941,2.157075543193694,3.5332201098010847,3.185899713857057,5.363453968601191,39.7189107569023
BBL,2003,4.332782316822876,3.511894357018716,5.393905765854313,4.320949155227149,2.61710581087958,2.478994357263913,2.962915768204806,5.147006134855487,46.69768845141425
BBL,2004,3.624600800267184,2.8190065372004884,4.919267718632297,3.800396855810142,2.4138785466051873,2.037459584062531,1.9284071839122565,2.9147581268605225,31.310333406615282
BBL,2005,3.8932330156369037,3.2106954690405773,5.026219479973752,3.683204133415509,2.0101759223852738,2.94007445881125,2.111711183148909,2.9858786173802274,20.670328311597597
BBL,2006,4.199352494580029,2.743251684896551,5.241732320815266,3.871527818194051,2.4380105588652983,2.9809449449070575,2.2752584428137173,4.201000652266167,32.27696324627459
BBL,2007,3.809351641661321,3.381813667078544,4.934996021091753,3.849120956071291,2.8164356039230176,2.214590329213943,1.6288260454428563,3.612851650335989,35.23710663768826
BBL,2008,4.145009742254517,3.699520359757373,5.290501113078993,4.148242757423739,2.1888774675891325,2.688193937698632,2.452233078068995,4.360201880919221,44.94307235050735
BBL,2009,4.246939759585449,3.136393669122815,5.048148169662324,3.689215204519456,2.4238267640019453,2.4792150457640263,1.5181390461341289,3.6757920977268768,33.312648094721446
BBL,2010,3.677706242710273,2.1068043122533373,4.996993428492764,4.041316373321084,1.8998020217948728,2.5224138917506944,1.6755653645928297,1.5886736004520363,39.259391621506005
BBL,2011,3.678751712753114,2.54775384735968,4.833063319317689,3.6582078728327305,2.26992330125931,2.454556043376799,1.5739563104560885,1.8661589416432494,26.317047601179212
BBL,2012,3.5026432529836793,2.0577867831208176,5.268892420602146,4.496034022704014,1.746569108989812,3.429405666949188,2.6598814167755003,2.935840533010227,30.431088288034648
BBL,2013,4.065006919236362,3.3449690937211236,5.168018600607262,4.037072848497289,1.9275988033748699,2.6999273718823393,1.9587797985364266,3.2106321683203998,30.06069125515915
BBL,2014,3.6905019248091167,3.2334082376622475,5.150244974145565,4.169937596135353,1.3280795128085559,2.877480408360602,2.1415353346602686,5.199388185411564,28.15367267214556
BBL,2015,3.5841477161253352,3.061725818708023,5.298005811238914,4.48636173611994,2.108397065697791,3.160394094831907,2.192159661264595,2.071297544119732,30.130918814677543
BBL,2016,3.4890942340374713,1.8973285522413068,5.170565625186556,4.43062143748481,1.4482364971052826,3.472263319313365,3.171423840130497,3.2841616437983228,24.478830526905575
BBL,2017,3.26264994758804,2.5739111920235347,5.222459118562962,4.35035653494351,1.9743224999735287,2.9136844692001875,2.194310837852295,2.813345014419822,28.43899392923282
BBL,2018,3.646723784669466,3.1002187129869396,5.077536924832361,4.1118500517660586,1.5849709689322407,2.443984699021901,3.3733302187854717,2.0612249295512877,22.1297025720901
BBL,2019,3.9029839136614126,3.4349797602012493,5.266794728189759,4.134106066423116,2.3019895529352756,1.7005093768917192,1.804951527979845,4.2264645516834385,25.556653292062208
